"time_id","net_sentiment","normalized_sentiment"
"201806230957",3,18
"201806241312",3,18
"201806251428",-8,7
"201806260416",-5,10
"201806260425",1,16
"201806260449",2,17
"201806291106",-2,13
"201807030333",-4,11
"201807090504",4,19
"201807090725",4,19
"201807100235",4,19
"201807100359",8,23
"201807101152",-3,12
"201807102303",0,15
"201807110540",-3,12
"201807110950",1,16
"201807111007",1,16
"201807112302",-1,14
"201807140246",-3,12
"201807180403",-2,13
"201807180433",2,17
"201807190630",2,17
"201807200543",5,20
"201807200551",-13,2
"201807200604",-6,9
"201807240429",3,18
"201807241708",4,19
"201807250401",-10,5
"201807250420",4,19
"201807251357",5,20
"201807251642",2,17
"201807251801",3,18
"201807290542",-4,11
"201807310314",7,22
"201808041247",-1,14
"201808041253",-2,13
"201808041258",3,18
"201808041303",2,17
"201808050459",6,21
"201808050506",-2,13
"201808060752",-1,14
"201808070346",-6,9
"201808080825",9,24
"201808091000",4,19
"201808100547",2,17
"201808101612",2,17
"201808140359",0,15
"201808150804",-4,11
"201808180446",2,17
"201808201014",-11,4
"201808221307",2,17
"201808240257",1,16
"201808241036",4,19
"201808250622",1,16
"201808251645",2,17
"201808260731",4,19
"201808271111",2,17
"201808272111",-3,12
"201808280721",0,15
"201808281816",1,16
"201808281919",2,17
"201808291423",-3,12
"201809010812",-6,9
"201809011551",1,16
"201809011555",-2,13
"201809030428",0,15
"201809041355",4,19
"201809080744",3,18
"201809080845",6,21
"201809090649",-3,12
"201809090701",2,17
"201809090712",-1,14
"201809100410",0,15
"201809130715",-6,9
"201809170311",4,19
"201809180550",2,17
"201809180555",2,17
"201809190434",-5,10
"201809241344",2,17
"201809241446",3,18
"201809261026",-3,12
"201810010330",9,24
"201810010340",-2,13
"201810010353",-2,13
"201810020802",4,19
"201810030604",1,16
"201810030702",6,21
"201810131052",6,21
"201810160712",2,17
"201810180445",-6,9
"201810230653",0,15
"201810230943",5,20
"201810250657",-4,11
"201810290528",11,26
"201810291950",4,19
"201810292005",4,19
"201810300512",6,21
"201811042205",3,18
"201811042336",3,18
"201811050613",-1,14
"201811070421",4,19
"201811091410",1,16
"201811120503",2,17
"201811120510",-4,11
"201811120521",6,21
"201811120834",1,16
"201811130450",0,15
"201811130607",1,16
"201811190826",-5,10
"201811210549",1,16
"201811250616",-5,10
"201811250646",-2,13
"201811251327",6,21
"201811271205",-1,14
"201811280743",2,17
"201811290532",-4,11
"201811300745",2,17
"201812022100",1,16
"201812030554",4,19
"201812030601",3,18
"201812030618",5,20
"201812040730",5,20
"201812040803",4,19
"201812040810",2,17
"201812041720",1,16
"201812050546",3,18
"201812050549",1,16
"201812050619",-1,14
"201812050644",5,20
"201812050651",-10,5
"201812061756",5,20
"201812140925",0,15
"201812140935",0,15
"201812170627",2,17
"201812171414",3,18
"201812210741",-2,13
"201812240741",1,16
"201812240759",5,20
"201812240855",4,19
"201812251618",2,17
"201812280542",-2,13
"201812290903",2,17
