"time_id","net_sentiment","normalized_sentiment"
"201808050506",-1,6
"201808060752",0,7
"201808070346",-3,4
"201808080825",3,10
"201808091000",3,10
"201808100547",2,9
"201808101612",1,8
"201808140359",0,7
"201808150804",-1,6
"201808180446",2,9
"201808201014",-5,2
"201808221307",1,8
"201808240257",1,8
"201808241036",3,10
"201808251645",1,8
"201808260731",1,8
"201808272111",-1,6
"201808280721",0,7
"201808281816",1,8
"201808291423",2,9
"201809010812",-2,5
"201809011555",1,8
"201809030428",1,8
"201809041355",4,11
"201809080744",1,8
"201809080845",1,8
"201809090649",-2,5
"201809090701",0,7
"201809090712",-1,6
"201809100410",1,8
"201809130715",-1,6
"201809170311",2,9
"201809180550",2,9
"201809180555",2,9
"201809190434",0,7
"201809241344",1,8
"201809241446",1,8
"201809261026",0,7
"201810010330",1,8
"201810010340",-2,5
"201810010353",-2,5
"201810020802",1,8
"201810030702",2,9
"201810131052",2,9
"201810160712",3,10
"201810180445",-5,2
"201810230943",1,8
"201810250657",-2,5
"201810290528",2,9
"201810291950",2,9
"201810292005",2,9
"201810300512",2,9
"201811010709",1,8
"201811042205",3,10
"201811042336",3,10
"201811050613",1,8
"201811070421",2,9
"201811091410",2,9
"201811120503",4,11
"201811120510",-1,6
"201811120521",4,11
"201811120834",-2,5
"201811130450",1,8
"201811130607",2,9
"201811190826",-1,6
"201811210549",1,8
"201811250616",0,7
"201811250646",-1,6
"201811251327",5,12
"201811271205",0,7
"201811280743",1,8
"201811290532",1,8
"201811300745",0,7
"201812030554",2,9
"201812030601",5,12
"201812030618",2,9
"201812040730",2,9
"201812040803",2,9
"201812040810",2,9
"201812050546",1,8
"201812050619",0,7
"201812050644",1,8
"201812050651",-6,1
"201812061756",2,9
"201812110619",1,8
"201812140925",0,7
"201812140935",0,7
"201812170627",2,9
"201812171414",1,8
"201812210741",0,7
"201812230959",0,7
"201812240741",1,8
"201812240759",3,10
"201812240855",2,9
"201812251618",0,7
"201812290903",1,8
