"minute_id","time_id","date_time","tweet_text","tweet_id","Bing_Net_Sentiment","Bing_Normalized_Sentiment","Afinn_Net_Sentiment","Afinn_Normalized_Sentiment","ret_1_Min","ret_2_Min","ret_5_Min","ret_10_Min","ret_20_Min","ret_30_Min","ret_60_Min","ret_120_Min","ret_240_Min","ret_360_Min"
201707250516,"201707250516","7/25/2017 12:16","working on major trade deal with the united kingdom. could be very big &amp; exciting. jobs! the e.u. is very protectionist with the u.s. stop!",2881,1,8,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707291004,"201707291004","7/29/2017 17:04","u.s. stock market up almost 20% since election!",2925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707291629,"201707291629","7/29/2017 23:29","i am very disappointed in china. our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade yet...",2928,-2,5,-4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707291635,"201707291635","7/29/2017 23:35","...they do nothing for us with north korea just talk. we will no longer allow this to continue. china could easily solve this problem!",2929,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707310528,"201707310528","7/31/2017 12:28","highest stock market ever best economic numbers in years unemployment lowest in 17 years wages raising border secure s.c.: no wh chaos!",2932,0,7,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708010549,"201708010549","8/1/2017 12:49","stock market could hit all-time high (again) 22000 today. was 18000 only 6 months ago on election day. mainstream media seldom mentions!",2934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708030508,"201708030508","8/3/2017 12:08","business is looking better than ever with business enthusiasm at record levels. stock market at an all-time high. that doesn't just happen!",2943,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708040326,"201708040326","8/4/2017 10:26","consumer confidence is at a 16 year high....and for good reason. much more regulation ""busting"" to come. working hard on tax cuts &amp; reform!",2952,1,8,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708051544,"201708051544","8/5/2017 22:44","the united nations security council just voted 15-0 to sanction north korea. china and russia voted with us. very big financial impact!",2960,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708070404,"201708070404","8/7/2017 11:04","...and west virginia. the fact is the fake news russian collusion story record stock market border security military strength jobs.....",2969,-2,5,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708140326,"201708140326","8/14/2017 10:26","heading to washington this morning. much work to do. focus on trade and military. #maga",3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708140338,"201708140338","8/14/2017 10:38","luther strange of the great state of alabama has my endorsement. he is strong on border &amp; wall the military tax cuts &amp; law enforcement.",3007,1,8,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708140354,"201708140354","8/14/2017 10:54","the obstructionist democrats have given us (or not fixed) some of the worst trade deals in world history. i am changing that fast!",3008,0,7,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708141517,"201708141517","8/14/2017 22:17","big day in washington d.c. even though white house &amp; oval office are being renovated. great trade deals coming for american workers!",3011,NA,NA,NA,NA,0.0000238,0.0000571,0.000723358,0.000942269,0.001070761,0.002151039,NA,NA,NA,NA
201708141522,"201708141522","8/14/2017 22:22","leaving for new york city and meetings on military purchases and trade.",3012,NA,NA,NA,NA,0.0000333,0.000228423,0.001127841,0.000923212,0.00117067,0.002241406,NA,NA,NA,NA
201708270615,"201708270615","8/27/2017 13:15","i will also be going to a wonderful state missouri that i won by a lot in '16. dem c.m. is opposed to big tax cuts. republican will win s!",3116,3,10,10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708270651,"201708270651","8/27/2017 13:51","we are in the nafta (worst trade deal ever made) renegotiation process with mexico &amp; canada.both being very difficultmay have to terminate?",3119,-1,6,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201708300642,"201708300642","8/30/2017 13:42","will be leaving for missouri soon for a speech on tax cuts and tax reform - so badly needed!",3128,0,7,-4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709011647,"201709011647","9/1/2017 23:47","stock market up 5 months in a row!",3138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709030439,"201709030439","9/3/2017 11:39","..north korea is a rogue nation which has become a great threat and embarrassment to china which is trying to help but with little success.",3149,-2,5,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709030914,"201709030914","9/3/2017 16:14","the united states is considering in addition to other options stopping all trade with any country doing business with north korea.",3152,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709060347,"201709060347","9/6/2017 10:47","will be going to north dakota today to discuss tax reform and tax cuts. we are the highest taxed nation in the world - that will change.",3159,1,8,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709080557,"201709080557","9/8/2017 12:57","republicans must start the tax reform/tax cut legislation asap. don't wait until the end of september. needed now more than ever. hurry!",3180,1,8,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709130428,"201709130428","9/13/2017 11:28","the approval process for the biggest tax cut &amp; tax reform package in the history of our country will soon begin. move fast congress!",3193,3,10,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201709130536,"201709130536","9/13/2017 12:36","with irma and harvey devastation tax cuts and tax reform is needed more than ever before. go congress go!",3195,0,7,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
